日付,コード,銘柄名,市場・商品区分,33業種コード,33業種区分,17業種コード,17業種区分,規模コード,規模区分
20210430,7863,平賀,JASDAQ(スタンダード・内国株）,3800,その他製品,10,情報通信・サービスその他 ,,
20210430,7864,フジシールインターナショナル,市場第一部（内国株）,3800,その他製品,10,情報通信・サービスその他 ,6,TOPIX Small 1
20210430,7865,ピープル,JASDAQ(スタンダード・内国株）,3800,その他製品,10,情報通信・サービスその他 ,,
20210430,7867,タカラトミー,市場第一部（内国株）,3800,その他製品,10,情報通信・サービスその他 ,6,TOPIX Small 1
20210430,7868,廣済堂,市場第一部（内国株）,3800,その他製品,10,情報通信・サービスその他 ,7,TOPIX Small 2
20210430,7871,フクビ化学工業,市場第二部（内国株）,3200,化学,4,素材・化学 ,,
20210430,7872,エステールホールディングス,市場第一部（内国株）,3800,その他製品,10,情報通信・サービスその他 ,7,TOPIX Small 2
20210430,7874,レック,市場第一部（内国株）,3200,化学,4,素材・化学 ,6,TOPIX Small 1
20210430,7875,竹田印刷,市場第二部（内国株）,3800,その他製品,10,情報通信・サービスその他 ,,
20210430,7877,永大化工,JASDAQ(スタンダード・内国株）,3200,化学,4,素材・化学 ,,
20210430,7878,光・彩,JASDAQ(スタンダード・内国株）,3800,その他製品,10,情報通信・サービスその他 ,,
20210430,7879,ノダ,市場第二部（内国株）,3800,その他製品,10,情報通信・サービスその他 ,,
20210430,7883,サンメッセ,JASDAQ(スタンダード・内国株）,3800,その他製品,10,情報通信・サービスその他 ,,
20210430,7885,タカノ,市場第一部（内国株）,3800,その他製品,10,情報通信・サービスその他 ,7,TOPIX Small 2
20210430,7886,ヤマト・インダストリー,JASDAQ(スタンダード・内国株）,3200,化学,4,素材・化学 ,,
20210430,7887,南海プライウッド,市場第二部（内国株）,3800,その他製品,10,情報通信・サービスその他 ,,
20210430,7888,三光合成,市場第一部（内国株）,3200,化学,4,素材・化学 ,7,TOPIX Small 2
20210430,7893,プロネクサス,市場第一部（内国株）,3800,その他製品,10,情報通信・サービスその他 ,7,TOPIX Small 2
20210430,7895,中央化学,JASDAQ(スタンダード・内国株）,3200,化学,4,素材・化学 ,,
20210430,7896,セブン工業,市場第二部（内国株）,3800,その他製品,10,情報通信・サービスその他 ,,
20210430,7897,ホクシン,市場第一部（内国株）,3800,その他製品,10,情報通信・サービスその他 ,7,TOPIX Small 2
20210430,7898,ウッドワン,市場第一部（内国株）,3800,その他製品,10,情報通信・サービスその他 ,7,TOPIX Small 2
20210430,7899,ＭＩＣＳ化学,JASDAQ(スタンダード・内国株）,3200,化学,4,素材・化学 ,,
